MsgID.LOCAL_POSITION,6.5020000,-0.1515912,0.1422609,-0.0018139
MsgID.LOCAL_VELOCITY,6.5020000,-0.0084522,-0.0491833,0.0653123
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924791,0.0010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0400000,0.0600000
MsgID.LOCAL_POSITION,6.7520000,-0.2453826,0.3340217,-0.0094170
MsgID.LOCAL_VELOCITY,6.7520000,0.0000693,-0.0003673,0.0000545
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924782,0.0090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,7.0020000,-0.1264364,0.4507937,-0.0533321
MsgID.LOCAL_VELOCITY,7.0020000,0.0000059,0.0000159,0.0000115
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924793,0.0530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.2520000,0.0008470,0.3763540,-0.1010129
MsgID.LOCAL_VELOCITY,7.2520000,-0.0000058,-0.0000138,0.0000114
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924804,0.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.5020000,-0.0001213,0.2583131,-0.1462448
MsgID.LOCAL_VELOCITY,7.5020000,-0.0000261,-0.0000048,0.0000079
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924804,0.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.7520000,-0.0472278,0.2130482,-0.1832076
MsgID.LOCAL_VELOCITY,7.7520000,0.0000092,0.0000134,0.0000136
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924800,0.1830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,8.0020000,-0.0506692,0.2592132,-0.2372050
MsgID.LOCAL_VELOCITY,8.0020000,-0.0002234,-0.0003636,-0.7457458
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924800,0.2370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.7400000
MsgID.LOCAL_POSITION,8.2520000,0.0661914,0.2953533,-0.7115767
MsgID.LOCAL_VELOCITY,8.2520000,-0.0024069,-0.0032127,-2.9719961
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924810,0.7110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.9700000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924800,1.6170000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-4.1500000
MsgID.LOCAL_POSITION,8.5030000,-0.0444813,0.3880543,-1.6173933
MsgID.LOCAL_VELOCITY,8.5030000,-0.0149328,-0.0101314,-4.1565337
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924785,2.6560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-4.4500000
MsgID.LOCAL_POSITION,8.7530000,-0.2121372,0.1731004,-2.6587813
MsgID.LOCAL_VELOCITY,8.7530000,-0.0094104,-0.0177708,-4.4541469
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924784,3.7220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-4.5000000
MsgID.LOCAL_POSITION,9.0030000,-0.2245558,0.1371142,-3.7224953
MsgID.LOCAL_VELOCITY,9.0030000,0.0133484,-0.0052851,-4.5047956
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924793,4.8020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0000000,-4.1400000
MsgID.LOCAL_POSITION,9.2530000,-0.1210384,0.2970554,-4.8044834
MsgID.LOCAL_VELOCITY,9.2530000,0.0244342,0.0059324,-4.1364284
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924798,5.4540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0000000,-1.5100000
MsgID.LOCAL_POSITION,9.5030000,-0.0666655,0.3642928,-5.4546843
MsgID.LOCAL_VELOCITY,9.5030000,0.0229596,0.0055744,-1.5187218
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924800,5.4900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0000000,0.8600000
MsgID.LOCAL_POSITION,9.7530000,-0.0462110,0.2179665,-5.4908557
MsgID.LOCAL_VELOCITY,9.7530000,0.0212557,0.0050832,0.8694800
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924796,5.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,1.8100000
MsgID.LOCAL_POSITION,10.0030000,-0.0919037,0.3035805,-5.1033077
MsgID.LOCAL_VELOCITY,10.0030000,0.0135895,0.0039307,1.8159446
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924790,4.8410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.1200000
MsgID.LOCAL_POSITION,10.2530000,-0.1573836,0.2455834,-4.8413763
MsgID.LOCAL_VELOCITY,10.2530000,0.0060718,-0.0067428,0.1225144
MsgID.LOCAL_POSITION,10.5030000,-0.0260555,0.1062947,-4.9639187
MsgID.LOCAL_VELOCITY,10.5030000,0.0098327,-0.0033525,-0.4962895
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7924802,4.9630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.4900000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924790,5.0320000
